date month year variable value units
8/1/2020 8 1920 TLG 0.01245 MAF
9/1/2020 9 1920 TLG 0.00663 MAF
10/1/2020 10 1920 TLG 0.04108 MAF
11/1/2020 11 1920 TLG 0.0533 MAF
12/1/2020 12 1920 TLG 0.06955 MAF
1/1/2021 1 1921 TLG 0.1962 MAF
2/1/2021 2 1921 TLG 0.15594 MAF
3/1/2021 3 1921 TLG 0.23177 MAF
4/1/2021 4 1921 TLG 0.25435 MAF
5/1/2021 5 1921 TLG 0.44219 MAF
6/1/2021 6 1921 TLG 0.45832 MAF
7/1/2021 7 1921 TLG 0.09517 MAF
8/1/2021 8 1921 TLG 0.0135 MAF
9/1/2021 9 1921 TLG 0.00656 MAF
10/1/2021 10 1921 TLG 0.0058 MAF
11/1/2021 11 1921 TLG 0.00608 MAF
12/1/2021 12 1921 TLG 0.0546 MAF
1/1/2022 1 1922 TLG 0.07172 MAF
2/1/2022 2 1922 TLG 0.18946 MAF
3/1/2022 3 1922 TLG 0.18128 MAF
4/1/2022 4 1922 TLG 0.26035 MAF
5/1/2022 5 1922 TLG 0.71753 MAF
6/1/2022 6 1922 TLG 0.75193 MAF
7/1/2022 7 1922 TLG 0.19456 MAF
8/1/2022 8 1922 TLG 0.02722 MAF
9/1/2022 9 1922 TLG 0.01039 MAF
10/1/2022 10 1922 TLG 0.0106 MAF
11/1/2022 11 1922 TLG 0.03161 MAF
12/1/2022 12 1922 TLG 0.12393 MAF
1/1/2023 1 1923 TLG 0.11359 MAF
2/1/2023 2 1923 TLG 0.07952 MAF
3/1/2023 3 1923 TLG 0.11311 MAF
4/1/2023 4 1923 TLG 0.26574 MAF
5/1/2023 5 1923 TLG 0.5213 MAF
6/1/2023 6 1923 TLG 0.31913 MAF
7/1/2023 7 1923 TLG 0.15784 MAF
8/1/2023 8 1923 TLG 0.02734 MAF
9/1/2023 9 1923 TLG 0.02227 MAF
10/1/2023 10 1923 TLG 0.02851 MAF
11/1/2023 11 1923 TLG 0.01362 MAF
12/1/2023 12 1923 TLG 0.01376 MAF
1/1/2024 1 1924 TLG 0.02534 MAF
2/1/2024 2 1924 TLG 0.04162 MAF
3/1/2024 3 1924 TLG 0.03786 MAF
4/1/2024 4 1924 TLG 0.13886 MAF
5/1/2024 5 1924 TLG 0.2094 MAF
6/1/2024 6 1924 TLG 0.01685 MAF
